username,location,relationship_type,target
aeroman,Orlando Florida,follower,moger4
mariet68,Scotland,follower,moger4
anthony_thomas,,follower,moger4
shootmupintx,🇨🇱Texas🇨🇱,follower,moger4
usacreativenews,Washington D.C.,follower,moger4
dalbello_doming,,follower,moger4
markone972,uk,follower,moger4
del657,,follower,moger4
costason,Portugal,follower,moger4
brianhuggard,Astoria queens NY,follower,moger4
chromotos,,follower,moger4
ocnana2013,,follower,moger4
alfdaley,ENGLAND,follower,moger4
wesnorton71,‘merica fuck yeah,follower,moger4
randalllopez,Alabama,follower,moger4
melvinbryant,Texas,follower,moger4
edgar1916,Atlantis,follower,moger4
nellie71,Tennessee,follower,moger4
truthtrekker,,follower,moger4
jbdavis007,USA,follower,moger4
noiram,Leicester,follower,moger4
luckey101,,follower,moger4
susan2022,United States Of America,follower,moger4
troybob,fly over country,follower,moger4
billy_idle,Preston UK,follower,moger4
happy113,,follower,moger4
lindalewis36,chesterfield,follower,moger4
david999,,follower,moger4
crabstix,,follower,moger4
herbdoc,Midwest,follower,moger4
jayne,Ultra MAGA!,follower,moger4
hinkyaz,"Tucson, Arizona",follower,moger4
woods13,England🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇬🇧,follower,moger4
ploppers,home,follower,moger4
lee231,,follower,moger4
spanner5232,London..the one in UK,follower,moger4
beatlekev,London UK🇬🇧,follower,moger4
garycunningham,,follower,moger4
dangerboyslim,Philadelphia,follower,moger4
bannonfans,,follower,moger4
gstithem,Louisiana,follower,moger4
penombre19,,follower,moger4
jayuk71,South East,follower,moger4
redskins1,Manchester UK,follower,moger4
hisvessel,Texas,follower,moger4
maven62,Newcastle upon Tyne UK,follower,moger4
tonto17,Michigan,follower,moger4
codgod,your house in the loft,follower,moger4
shipsale,,follower,moger4
bigjohn48,Kentucky,follower,moger4
harribab55,,follower,moger4
zanzi66,,follower,moger4
arnoldjrimmer,England,follower,moger4
shytalk,UK,follower,moger4
beatrixpotter22,,follower,moger4
savage5555,Worcestershire,follower,moger4
zac_miller,NEBRASKA,follower,moger4
gettr,"New York, NY",following,moger4
curious_bunny,"England, UK",following,moger4
bazza1,ENGLAND ...,following,moger4
policeabuse,,following,moger4
vowalesofficial,Wales,following,moger4
britainfirst,Manchester,following,moger4
mahyar_tousi,,following,moger4
w_terrence,United States,following,moger4
tommyrobinson1,ENGLAND,following,moger4
leivers1980,Telford UK,following,moger4
mrandyngo,"US, UK",following,moger4
ginacarano,,following,moger4
maajidnawaz,London,following,moger4
thisiskyler,USA,following,moger4
billy_idle,Preston UK,following,moger4
scrowder88,United States,following,moger4
lordpearson,,following,moger4
trobinsonnewera,England,following,moger4
tommyrobinsonn,,following,moger4
