term,language,offense_level,sightings_number
pisslam,English,Extremely offensive,166.0
gualas,English,Extremely offensive,166.0
niglet,English,Extremely offensive,165.0
yellow bone,English,Moderately offensive,164.0
mungs,English,-,164.0
moulinyan,English,Extremely offensive,163.0
white nigger,English,Extremely offensive,161.0
smoke jumper,English,Highly offensive,161.0
reffo,English,Extremely offensive,160.0
wagon burners,English,-,159.0
newfie,English,Moderately offensive,158.0
wetback,English,Extremely offensive,158.0
porki,English,Highly offensive,158.0
shants,English,Mildly offensive,158.0
scallie,English,Extremely offensive,157.0
border bunnies,English,-,156.0
skangers,English,-,156.0
redskins,English,Extremely offensive,155.0
ikes,English,-,155.0
jiggaboos,English,Extremely offensive,155.0
spide,English,Extremely offensive,154.0
dagos,English,-,154.0
mangia cake,English,Highly offensive,153.0
Bog Irish,English,Highly offensive,151.0
sand monkeys,English,-,151.0
tards,English,Moderately offensive,149.0
roundeye,English,Highly offensive,149.0
latrinos,English,-,148.0
papooses,English,Moderately offensive,146.0
red bones,English,Moderately offensive,146.0
charva,English,Moderately offensive,145.0
booners,English,-,145.0
halala,English,Extremely offensive,142.0
batiman,English,-,140.0
gubba,English,Highly offensive,137.0
curry stinker,English,Extremely offensive,137.0
white niggers,English,-,137.0
bogan,English,Highly offensive,137.0
mick,English,Moderately offensive,135.0
stump jumper,English,Highly offensive,135.0
batty men,English,-,135.0
boong,English,Extremely offensive,135.0
seppos,English,-,134.0
sooties,English,-,134.0
scobes,English,-,134.0
conchuda,English,Extremely offensive,133.0
spivs,English,Mildly offensive,132.0
bohunks,English,-,132.0
ghetto monkeys,English,-,132.0
neechee,English,Extremely offensive,131.0
gubbas,English,-,131.0
wigga,English,Extremely offensive,129.0
hebes,English,-,129.0
croweater,English,-,128.0
kunt,English,Highly offensive,126.0
scanger,English,Highly offensive,125.0
niggerize,English,Extremely offensive,125.0
feminazis,English,-,125.0
sideways vaginas,English,Extremely offensive,124.0
darkey,English,Extremely offensive,124.0
charvers,English,-,124.0
sambo,English,Extremely offensive,123.0
gimps,English,-,121.0
hori,English,Highly offensive,120.0
nichiwa,English,Extremely offensive,119.0
bull dykes,English,-,119.0
beaner babies,English,Extremely offensive,118.0
croweaters,English,-,118.0
Rhineland bastards,English,Extremely offensive,117.0
closet dyke,English,Moderately offensive,117.0
butterheads,English,Highly offensive,117.0
sheepfuckers,English,-,116.0
jewbag,English,Extremely offensive,116.0
wegro,English,Extremely offensive,116.0
dinges,English,Highly offensive,115.0
niggerization,English,Extremely offensive,115.0
good goys,English,-,115.0
Lebs,English,-,115.0
gheys  ,English,Highly offensive,115.0
degos,English,-,114.0
hos,English,-,114.0
blaxican,English,Mildly offensive,113.0
eshays,English,Moderately offensive,113.0
mong,English,Extremely offensive,112.0
Afro-Saxon,English,Mildly offensive,110.0
prairie nigger,English,Extremely offensive,110.0
abbos,English,Extremely offensive,109.0
tard,English,Highly offensive,108.0
divvies,English,-,108.0
lowlander,English,Highly offensive,108.0
bogans,English,Highly offensive,106.0
nafris,English,-,104.0
hebros,English,Extremely offensive,104.0
queers,English,-,103.0
arsim,English,-,102.0
hadjis,English,-,100.0
kike,English,Extremely offensive,100.0
goober,English,Extremely offensive,99.0
muzzies,English,-,98.0
proddy dog,English,Highly offensive,97.0
the goyim know,English,-,97.0
shit heel,English,Highly offensive,96.0
eyeties,English,-,95.0
jiggas,English,-,95.0
steeks,English,-,93.0
nafri,English,Highly offensive,93.0
zhid,English,-,93.0
gyppy,English,Extremely offensive,93.0
wapanese,English,Highly offensive,92.0
khazars,English,-,92.0
tree jumpers,English,Mildly offensive,92.0
nigor,English,Extremely offensive,91.0
nigre,English,Extremely offensive,90.0
nichis,English,-,89.0
ping pang,English,Highly offensive,88.0
muzrats,English,-,83.0
Kushi,English,Extremely offensive,82.0
Lebbo,English,Extremely offensive,82.0
abos,English,Highly offensive,82.0
island nigger,English,Extremely offensive,82.0
batty bwoys,English,-,81.0
conchudas,English,-,80.0
moulignon,English,Extremely offensive,79.0
jigro,English,Extremely offensive,79.0
pickaninnys,English,-,79.0
latrino,English,Highly offensive,79.0
boongs,English,-,77.0
bean bandit,English,Highly offensive,77.0
trailer trash,English,Extremely offensive,77.0
dago,English,Highly offensive,77.0
sawney,English,Mildly offensive,76.0
ockers,English,-,75.0
butt pirates,English,Moderately offensive,74.0
jockie,English,Highly offensive,74.0
trannies,English,Highly offensive,73.0
mulignans,English,Moderately offensive,73.0
guala gualas,English,-,73.0
mochs,English,Highly offensive,72.0
ginzo,English,Highly offensive,72.0
niger,English,Extremely offensive,72.0
slopehead,English,Highly offensive,72.0
African catfish,English,Extremely offensive,72.0
mossheads,English,-,72.0
hebe,English,Extremely offensive,71.0
proddy dogs,English,-,71.0
hadji,English,Highly offensive,70.0
muzzie,English,Highly offensive,70.0
muzrat,English,Extremely offensive,70.0
ziojew,English,Extremely offensive,70.0
sand apes,English,-,70.0
Ubangis,English,-,69.0
darky,English,Extremely offensive,69.0
gyps,English,Moderately offensive,69.0
redlegs,English,Extremely offensive,68.0
boongas,English,-,67.0
steek,English,Extremely offensive,66.0
